,stateZ_timestamp,cf_x,cf_y,cf_z,obs_x,obs_y,obs_z,obs_temp_x,obs_temp_y,obs_temp_z
538,116594.0,0.002,-0.002,0.033,,,,,,
539,116604.0,0.003,-0.002,0.033,,,,,,
540,116614.0,0.003,-0.002,0.033,,,,,,
541,116624.0,0.002,-0.002,0.031,,,,,,
542,116634.0,0.002,-0.002,0.031,,,,,,
543,116644.0,0.003,-0.002,0.031,,,,,,
544,116654.0,0.002,-0.002,0.031,,,,,,
545,116664.0,0.003,-0.002,0.031,,,,,,
546,116674.0,0.003,-0.002,0.032,,,,,,
547,116684.0,0.003,-0.002,0.032,,,,,,
548,116694.0,0.003,-0.002,0.032,,,,,,
549,116704.0,0.003,-0.002,0.032,,,,,,
550,116714.0,0.003,-0.002,0.033,,,,,,
551,116724.0,0.003,-0.002,0.033,,,,,,
552,116734.0,0.003,-0.002,0.033,,,,,,
553,116744.0,0.003,-0.002,0.033,,,,,,
554,116754.0,0.003,-0.002,0.033,,,,,,
555,116764.0,0.0,-0.002,0.032,,,,,,
556,116774.0,0.002,-0.002,0.032,,,,,,
557,116784.0,0.002,-0.002,0.032,,,,,,
558,116794.0,0.001,-0.002,0.032,,,,,,
559,116804.0,0.001,-0.002,0.032,,,,,,
560,116814.0,0.002,-0.002,0.032,,,,,,
561,116824.0,0.0,-0.002,0.032,,,,,,
562,116834.0,0.002,-0.002,0.032,,,,,,
563,116844.0,0.0,-0.002,0.031,,,,,,
564,116854.0,0.0,-0.001,0.031,,,,,,
565,116864.0,0.003,-0.002,0.031,,,,,,
566,116874.0,0.003,-0.002,0.031,,,,,,
567,116884.0,0.003,-0.002,0.031,,,,,,
568,116894.0,0.003,-0.002,0.032,,,,,,
569,116904.0,0.002,-0.002,0.032,,,,,,
570,116914.0,0.003,-0.002,0.032,,,,,,
571,116924.0,0.003,-0.002,0.032,,,,,,
572,116934.0,0.002,-0.002,0.032,,,,,,
573,116944.0,0.003,-0.002,0.032,,,,,,
574,116954.0,0.003,-0.002,0.032,,,,,,
575,116964.0,0.003,-0.002,0.032,,,,,,
576,116974.0,0.002,-0.002,0.032,,,,,,
577,116984.0,0.002,-0.002,0.032,,,,,,
578,116994.0,0.003,-0.002,0.032,,,,,,
579,117004.0,0.003,-0.002,0.032,,,,,,
580,117014.0,0.003,-0.002,0.032,,,,,,
581,117024.0,0.003,-0.002,0.032,,,,,,
582,117034.0,0.002,-0.002,0.032,,,,,,
583,117044.0,0.003,-0.002,0.032,,,,,,
584,117054.0,0.003,-0.002,0.033,,,,,,
585,117064.0,0.003,-0.003,0.032,,,,,,
586,117074.0,0.002,-0.003,0.032,,,,,,
587,117084.0,0.002,-0.003,0.032,,,,,,
588,117094.0,0.004,-0.002,0.032,,,,,,
589,117104.0,0.004,-0.002,0.032,,,,,,
590,117114.0,0.002,-0.002,0.031,,,,,,
591,117124.0,0.002,-0.002,0.031,,,,,,
592,117134.0,0.002,-0.002,0.031,,,,,,
593,117144.0,0.003,-0.002,0.031,,,,,,
594,117154.0,0.002,-0.002,0.032,,,,,,
595,117164.0,0.002,-0.002,0.032,,,,,,
596,117174.0,0.002,-0.002,0.032,,,,,,
597,117184.0,0.003,-0.002,0.032,,,,,,
598,117194.0,0.004,-0.002,0.032,,,,,,
599,117204.0,0.003,-0.002,0.032,,,,,,
600,117214.0,0.002,-0.002,0.032,,,,,,
601,117224.0,0.003,-0.002,0.032,,,,,,
602,117234.0,0.002,-0.002,0.032,,,,,,
603,117244.0,0.003,-0.002,0.032,,,,,,
604,117254.0,0.002,-0.002,0.032,,,,,,
605,117264.0,0.002,-0.002,0.032,,,,,,
606,117274.0,0.002,-0.002,0.032,,,,,,
607,117284.0,0.004,-0.002,0.031,,,,,,
608,117294.0,0.004,-0.002,0.032,,,,,,
609,117304.0,0.003,-0.002,0.032,,,,,,
610,117314.0,0.005,-0.002,0.032,,,,,,
611,117324.0,0.004,-0.002,0.032,,,,,,
612,117334.0,0.005,-0.002,0.032,,,,,,
613,117344.0,0.004,-0.002,0.032,,,,,,
614,117354.0,0.004,-0.002,0.032,,,,,,
615,117364.0,0.005,-0.002,0.032,,,,,,
616,117374.0,0.005,-0.002,0.033,,,,,,
617,117384.0,0.004,-0.002,0.033,,,,,,
618,117394.0,0.005,-0.002,0.033,,,,,,
619,117404.0,0.004,-0.002,0.033,,,,,,
620,117414.0,0.005,-0.002,0.033,,,,,,
621,117424.0,0.004,-0.002,0.033,,,,,,
622,117434.0,0.005,-0.002,0.034,,,,,,
623,117444.0,0.004,-0.002,0.034,,,,,,
624,117454.0,0.005,-0.002,0.034,,,,,,
625,117464.0,0.006,-0.002,0.034,,,,,,
626,117474.0,0.006,-0.002,0.034,,,,,,
627,117484.0,0.004,-0.002,0.034,,,,,,
628,117494.0,0.005,-0.002,0.034,,,,,,
629,117504.0,0.006,-0.002,0.034,,,,,,
630,117514.0,0.004,-0.002,0.034,,,,,,
631,117524.0,0.004,-0.002,0.034,,,,,,
632,117534.0,0.005,-0.002,0.034,,,,,,
633,117544.0,0.006,-0.002,0.034,,,,,,
634,117554.0,0.006,-0.002,0.033,,,,,,
635,117564.0,0.006,-0.002,0.033,,,,,,
636,117574.0,0.006,-0.002,0.033,,,,,,
637,117584.0,0.005,-0.002,0.033,,,,,,
638,117594.0,0.006,-0.002,0.033,,,,,,
639,117604.0,0.005,-0.002,0.033,,,,,,
640,117614.0,0.006,-0.002,0.033,,,,,,
641,117624.0,0.006,-0.002,0.033,,,,,,
642,117634.0,0.006,-0.002,0.033,,,,,,
643,117644.0,0.004,-0.002,0.032,,,,,,
644,117654.0,0.004,-0.002,0.032,,,,,,
645,117664.0,0.004,-0.002,0.032,,,,,,
646,117674.0,0.004,-0.002,0.032,,,,,,
647,117684.0,0.006,-0.002,0.031,,,,,,
648,117694.0,0.005,-0.002,0.031,,,,,,
649,117704.0,0.005,-0.002,0.031,,,,,,
650,117714.0,0.005,-0.002,0.031,,,,,,
651,117724.0,0.007,-0.002,0.031,,,,,,
652,117734.0,0.006,-0.002,0.031,,,,,,
653,117744.0,0.006,-0.002,0.031,,,,,,
654,117754.0,0.007,-0.002,0.031,,,,,,
655,117764.0,0.007,-0.002,0.031,,,,,,
656,117774.0,0.007,-0.002,0.031,,,,,,
657,117784.0,0.007,-0.002,0.031,,,,,,
658,117794.0,0.008,-0.002,0.031,,,,,,
659,117804.0,0.007,-0.002,0.031,,,,,,
660,117814.0,0.008,-0.002,0.031,,,,,,
661,117824.0,0.005,-0.002,0.031,,,,,,
662,117834.0,0.006,-0.002,0.032,,,,,,
663,117844.0,0.006,-0.002,0.032,,,,,,
664,117854.0,0.005,-0.002,0.032,,,,,,
665,117864.0,0.006,-0.002,0.032,,,,,,
666,117874.0,0.006,-0.002,0.032,,,,,,
667,117884.0,0.007,-0.002,0.032,,,,,,
668,117894.0,0.004,-0.003,0.032,,,,,,
669,117904.0,0.004,-0.003,0.031,,,,,,
670,117914.0,0.004,-0.003,0.031,,,,,,
671,117924.0,0.005,-0.003,0.031,,,,,,
