1.971847723572958916e-05,5.236483590866374271e-01,6.257498280188735773e-01
1.924158651645094714e-05,5.313582373205044673e-01,6.272632485441836936e-01
1.885937275079959386e-05,5.391174370705396068e-01,6.287813821803559522e-01
1.859370212035964809e-05,5.469256189244995348e-01,6.303041098079164017e-01
1.843799994572412298e-05,5.547824207968231613e-01,6.318313168531850543e-01
1.836023018534702062e-05,5.626874648768931397e-01,6.333628840297660378e-01
1.831168231618588663e-05,5.706403673798342568e-01,6.348986786277482919e-01
1.823921860218849462e-05,5.786407489135481086e-01,6.364385481758835228e-01
1.809794091787725938e-05,5.866882432099430611e-01,6.379823177295297354e-01
1.786128949202796901e-05,5.947825023955702894e-01,6.395297912063062640e-01
1.752633689004897037e-05,6.029231977887539173e-01,6.410807562861622344e-01
1.711327852069423003e-05,6.111100162176632544e-01,6.426349916156721687e-01
1.665953129122861294e-05,6.193426528307683920e-01,6.441922745810417794e-01
1.621009536636947360e-05,6.276208021057652076e-01,6.457523878400071027e-01
1.580662710138062732e-05,6.359441491028591242e-01,6.473151231316296439e-01
1.547785061816065323e-05,6.443123628914296797e-01,6.488802815240620747e-01
1.523348964882536464e-05,6.527250935449464553e-01,6.504476700582189075e-01
1.506296576859941806e-05,6.611819732766642810e-01,6.520170955198634211e-01
1.493892771372052971e-05,6.696826213663038541e-01,6.535883566586819793e-01
1.482453867746887479e-05,6.782266517103255898e-01,6.551612364516018472e-01
1.468261951916910845e-05,6.868136812915359712e-01,6.567354959275848447e-01
1.448440539672783536e-05,6.954433377170824437e-01,6.583108706578164604e-01
1.421587734775769025e-05,7.041152642380247295e-01,6.598870703659790449e-01
1.388030368394154724e-05,7.128291212683353084e-01,6.614637813768077246e-01
1.349658672375345179e-05,7.215845842232451179e-01,6.630406709633708262e-01
1.309401774926980734e-05,7.303813383140539406e-01,6.646173922183927774e-01
1.270485762270834646e-05,7.392190715888280472e-01,6.661935879506394320e-01
1.235660023137502985e-05,7.480974678575682546e-01,6.677688923080017380e-01
1.206575625421360697e-05,7.570162011191390317e-01,6.693429292950695553e-01
1.183454341778448062e-05,7.659749327316877077e-01,6.709153079690679533e-01
1.165111435416729696e-05,7.749733119320511010e-01,6.724856147196904832e-01
